,Step,county_splits,pop_deviation,cut_edges,Mean-median,Efficiency_gap,Dem_Victories,COI0_Splits,COI1_Splits,COI2_Splits,COI3_Splits,COI0_UoM,COI1_UoM,COI2_UoM,COI3_UoM,COI0_ESI,COI1_ESI,COI2_ESI,COI3_ESI
0,0.0,15.0,0.00047027222873523175,12825.0,-0.04304528415292297,-0.15509297704506597,5.0,1.0,0.0,1.0,0.0,0.02837369822455913,2.5627412030519317e-15,0.5971552091309874,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.3296695611362883,-8.881784197001252e-15
1,1.0,15.0,0.0021955480558421966,12633.0,-0.043130690797571924,-0.1562958718671587,5.0,1.0,0.0,1.0,0.0,0.02837369822455913,2.5627412030519317e-15,0.5971552091309874,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.3296695611362883,-8.881784197001252e-15
2,2.0,15.0,0.003022773903978869,12434.0,-0.0412113435929643,-0.1562958718671587,5.0,1.0,0.0,1.0,0.0,0.02837369822455913,2.5627412030519317e-15,0.5971552091309874,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.3296695611362883,-8.881784197001252e-15
3,3.0,17.0,0.006422332183992592,12617.0,-0.03117749499392286,-0.08462511344235658,6.0,1.0,0.0,1.0,0.0,0.02837369822455913,2.5627412030519317e-15,0.6577431173192476,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.3931886614537512,-8.881784197001252e-15
4,4.0,19.0,0.014091169070656884,12644.0,-0.03098877701365904,-0.08529699560992977,6.0,1.0,0.0,1.0,0.0,0.02837369822455913,2.5627412030519317e-15,0.6577431173192476,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.3931886614537512,-8.881784197001252e-15
5,5.0,19.0,0.014091169070656884,12842.0,-0.031090029426857735,-0.08529699560992973,6.0,1.0,0.0,1.0,0.0,0.02837369822455913,2.5627412030519317e-15,0.9499962413803494,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.8717561174192163,-8.881784197001252e-15
6,6.0,21.0,0.014091169070656884,12991.0,-0.031232699725806834,-0.0852969956099297,6.0,1.0,0.0,1.0,0.0,0.02837369822455913,2.5627412030519317e-15,0.9499962413803494,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.8717561174192163,-8.881784197001252e-15
7,7.0,21.0,0.014091169070656884,13356.0,-0.03068606106138877,-0.0852969956099297,6.0,1.0,0.0,1.0,0.0,0.02837369822455913,2.5627412030519317e-15,0.9499962413803494,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.8717561174192163,-8.881784197001252e-15
8,8.0,20.0,0.01708278035706896,13400.0,-0.030725864938605463,-0.0852969956099297,6.0,1.0,0.0,1.0,0.0,0.02837369822455913,2.5627412030519317e-15,0.9499962413803494,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.8717561174192163,-8.881784197001252e-15
9,9.0,20.0,0.01708278035706896,12536.0,-0.014856654539178449,-0.0011927653880017405,7.0,1.0,0.0,1.0,0.0,0.02837369822455913,2.5627412030519317e-15,0.9499962413803494,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.8717561174192163,-8.881784197001252e-15
10,10.0,21.0,0.019793928085379903,12867.0,-0.014680346805825417,-0.0011927653880017405,7.0,1.0,0.0,1.0,0.0,0.02837369822455913,2.5627412030519317e-15,0.9499962413803494,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.8717561174192163,-8.881784197001252e-15
11,11.0,23.0,0.019793928085379903,13027.0,-0.014460230301554855,-0.07470004556325645,6.0,1.0,0.0,2.0,0.0,0.02837369822455913,2.5627412030519317e-15,0.9607194782738222,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.8761707645313621,-8.881784197001252e-15
12,12.0,29.0,0.019793928085379903,13666.0,-0.014505227927696318,-0.07470004556325645,6.0,1.0,0.0,2.0,0.0,0.02837369822455913,2.5627412030519317e-15,0.9607194782738222,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.8761707645313621,-8.881784197001252e-15
13,13.0,30.0,0.019793928085379903,13927.0,-0.015436743722283097,-0.07470004556325643,6.0,1.0,0.0,2.0,0.0,0.02837369822455913,2.5627412030519317e-15,1.0468689751425972,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.9342808563747571,-8.881784197001252e-15
14,14.0,32.0,0.016503438966849956,14100.0,-0.015423994893294768,-0.07470004556325643,6.0,1.0,0.0,2.0,0.0,0.02837369822455913,2.5627412030519317e-15,1.0468689751425972,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.9342808563747571,-8.881784197001252e-15
15,15.0,32.0,0.016503438966849956,14304.0,-0.015050666569612403,-0.07470004556325645,6.0,1.0,0.0,2.0,0.0,0.02837369822455913,2.5627412030519317e-15,1.0468689751425972,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.9342808563747571,-8.881784197001252e-15
16,16.0,31.0,0.0163575412573327,13387.0,-0.014929774932396223,-0.07470004556325645,6.0,1.0,0.0,2.0,0.0,0.02837369822455913,2.5627412030519317e-15,1.0468689751425972,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.9342808563747571,-8.881784197001252e-15
17,17.0,32.0,0.0163575412573327,13687.0,-0.022957849980435818,-0.07470004556325645,6.0,1.0,0.0,2.0,0.0,0.02837369822455913,2.5627412030519317e-15,1.0468689751425972,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.9342808563747571,-8.881784197001252e-15
18,18.0,37.0,0.0168858892733515,13773.0,-0.02298041432714204,-0.07470004556325642,6.0,1.0,0.0,2.0,0.0,0.02837369822455913,2.5627412030519317e-15,1.0468689751425972,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.9342808563747571,-8.881784197001252e-15
19,19.0,37.0,0.0168858892733515,13838.0,-0.023054492101400315,-0.07470004556325642,6.0,1.0,0.0,2.0,0.0,0.02837369822455913,2.5627412030519317e-15,1.0468689751425972,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.9342808563747571,-8.881784197001252e-15
20,20.0,37.0,0.01353732436753798,13878.0,-0.0230572691477417,-0.07470004556325645,6.0,1.0,0.0,2.0,0.0,0.02837369822455913,2.5627412030519317e-15,1.0468689751425972,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.9342808563747571,-8.881784197001252e-15
21,21.0,37.0,0.01353732436753798,14468.0,-0.021486839611886577,-0.07470004556325645,6.0,1.0,0.0,2.0,0.0,0.02837369822455913,2.5627412030519317e-15,1.0468689751425972,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.9342808563747571,-8.881784197001252e-15
22,22.0,37.0,0.01353732436753798,14225.0,-0.02589068922657417,-0.07470004556325645,6.0,1.0,0.0,2.0,0.0,0.02837369822455913,2.5627412030519317e-15,1.0468689751425972,-6.406853007629851e-15,0.005757123056814306,3.552713678800501e-15,0.9342808563747571,-8.881784197001252e-15
